Pregunta,Respuesta
"¿Qué es la inmunidad innata?","Es la primera línea de defensa del organismo contra infecciones, no específica, y responde rápidamente a patógenos a través de barreras físicas, células como macrófagos y neutrófilos, y moléculas como el complemento."
"¿Qué es el complemento?","Un sistema de proteínas plasmáticas que colabora en la defensa inmunitaria, facilitando la opsonización de patógenos, promoviendo la inflamación y causando la lisis de células infecciosas."
"¿Qué son las células T reguladoras (Treg)?","Subtipo de células T que suprimen las respuestas inmunitarias excesivas o inapropiadas, ayudando a mantener la tolerancia inmunológica y prevenir enfermedades autoinmunes."
"¿Qué es la inmunidad adaptativa?","Es la respuesta inmune específica desarrollada tras la exposición a un patógeno, caracterizada por la memoria inmunológica y mediada por células T y B."
"¿Qué son los anticuerpos?","Proteínas producidas por células B que se unen específicamente a antígenos, neutralizando patógenos o marcándolos para su eliminación."
"¿Qué es la opsonización?","Proceso por el cual los anticuerpos o proteínas del complemento recubren a los patógenos, facilitando su reconocimiento y fagocitosis por células inmunitarias."
"¿Qué es un antígeno?","Sustancia que es reconocida por el sistema inmunológico como extraña, desencadenando una respuesta inmune."
"¿Qué es la hipersensibilidad tipo I?","Reacción alérgica mediada por IgE y mastocitos, que ocurre rápidamente tras la exposición a un alérgeno, causando síntomas como anafilaxis o rinitis alérgica."
"¿Qué es la memoria inmunológica?","Capacidad del sistema inmunológico para recordar un antígeno específico y montar una respuesta más rápida y efectiva en caso de una exposición futura."
"¿Qué es la presentación de antígenos?","Proceso por el cual las células presentadoras de antígenos, como las células dendríticas, procesan y muestran fragmentos de antígenos en su superficie, facilitando su reconocimiento por las células T."
